uc,run,convergence_time_ms,convergence_time_s
UC5_P50,run-20251201-231222_uc5_p50_m2000_r10_s256_DIRECT,,
UC5_P50,run-20251201-231322_uc5_p50_m2000_r10_s256_DIRECT,202527.75,202.52775
UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,,
UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,,
UC5_P50,run-20251201-231849_uc5_p50_m2000_r10_s256_DIRECT,,
UC5_P50,run-20251201-231949_uc5_p50_m2000_r10_s256_DIRECT,202417.83333333334,202.41783333333333
UC5_P50,run-20251201-232329_uc5_p50_m2000_r10_s256_DIRECT,202389.8,202.38979999999998
UC5_P50,run-20251201-232713_uc5_p50_m2000_r10_s256_DIRECT,202257.0,202.257
UC5_P50,run-20251201-233100_uc5_p50_m2000_r10_s256_DIRECT,,
UC5_P50,run-20251201-233443_uc5_p50_m2000_r10_s256_DIRECT,,
UC6_P50,run-20251201-234250_uc6_p50_m2000_r10_s256_RELAY,,
UC6_P50,run-20251201-234640_uc6_p50_m2000_r10_s256_RELAY,,
UC6_P50,run-20251201-235030_uc6_p50_m2000_r10_s256_RELAY,,
UC6_P50,run-20251201-235420_uc6_p50_m2000_r10_s256_RELAY,,
UC6_P50,run-20251201-235810_uc6_p50_m2000_r10_s256_RELAY,202385.7894736842,202.3857894736842
UC6_P50,run-20251202-000159_uc6_p50_m2000_r10_s256_RELAY,,
UC6_P50,run-20251202-000549_uc6_p50_m2000_r10_s256_RELAY,202310.23529411765,202.31023529411766
UC6_P50,run-20251202-000939_uc6_p50_m2000_r10_s256_RELAY,202369.36,202.36935999999997
UC6_P50,run-20251202-001329_uc6_p50_m2000_r10_s256_RELAY,202550.64516129033,202.55064516129033
UC6_P50,run-20251202-001719_uc6_p50_m2000_r10_s256_RELAY,202406.0,202.406
