uc,run,rt_avg_ms
UC5_P50,run-20251201-231222_uc5_p50_m2000_r10_s256_DIRECT,
UC5_P50,run-20251201-231322_uc5_p50_m2000_r10_s256_DIRECT,4706.12
UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,
UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,
UC5_P50,run-20251201-231849_uc5_p50_m2000_r10_s256_DIRECT,
UC5_P50,run-20251201-231949_uc5_p50_m2000_r10_s256_DIRECT,19302.09677419355
UC5_P50,run-20251201-232329_uc5_p50_m2000_r10_s256_DIRECT,1929.4848484848485
UC5_P50,run-20251201-232713_uc5_p50_m2000_r10_s256_DIRECT,7404.766666666666
UC5_P50,run-20251201-233100_uc5_p50_m2000_r10_s256_DIRECT,25579.68
UC5_P50,run-20251201-233443_uc5_p50_m2000_r10_s256_DIRECT,
UC6_P50,run-20251201-234250_uc6_p50_m2000_r10_s256_RELAY,4472.529411764706
UC6_P50,run-20251201-234640_uc6_p50_m2000_r10_s256_RELAY,1451.1842105263158
UC6_P50,run-20251201-235030_uc6_p50_m2000_r10_s256_RELAY,19355.266666666666
UC6_P50,run-20251201-235420_uc6_p50_m2000_r10_s256_RELAY,12014.76
UC6_P50,run-20251201-235810_uc6_p50_m2000_r10_s256_RELAY,12767.076923076924
UC6_P50,run-20251202-000159_uc6_p50_m2000_r10_s256_RELAY,19505.90322580645
UC6_P50,run-20251202-000549_uc6_p50_m2000_r10_s256_RELAY,16423.76923076923
UC6_P50,run-20251202-000939_uc6_p50_m2000_r10_s256_RELAY,4591.815789473684
UC6_P50,run-20251202-001329_uc6_p50_m2000_r10_s256_RELAY,7345.939393939394
UC6_P50,run-20251202-001719_uc6_p50_m2000_r10_s256_RELAY,27625.27027027027
